the_geom,the_geom_webmercator,objectid,year,dc_key,code,date_,time,race,sex,age,wound,officer_involved,offender_injured,offender_deceased,location,latino,point_x,point_y,dist,inside,outside,fatal,lat,lng
0101000020E6100000A6A6F2B02FC552C0EE01C2A0AF014440,0101000020110F0000CE5F63AB17E25FC12A6F9027C4915241,335843,2016.0,201615068314,0411,2016-07-13,21:52:00,B,M,32,back,N,N,N,4600 BLOCK MULBERRY ST,0,-75.08103584,40.01317224,15,0,1,0,40.01317224,-75.08103584
,,335844,2016.0,201625059159,0411,2016-07-14,19:39:00,B,M,17,chest,N,N,N,500 BLOCK EWestmoreland St,0,,,25,0,1,0,,
,,335845,2016.0,201625059158,0411,2016-07-14,19:39:00,B,M,18,buttocks,N,N,N,500 BLOCK EWestmoreland St,0,,,25,0,1,0,,
,,335846,2016.0,201635061904,0411,2016-07-14,22:21:00,B,M,15,multi,N,N,N,2100 BLOCK WFurley St,0,,,35,0,1,0,,
,,335847,2016.0,201619065760,0411,2016-07-15,14:54:00,B,M,21,multi/arm,N,N,N,600 BLOCK N52nd St,0,,,19,0,1,0,,
,,335848,2016.0,201622059286,0411,2016-07-16,02:15:00,B,M,26,buttocks,N,N,N,1700 BLOCK WCumberland St,0,,,22,0,1,0,,
,,335849,2016.0,201625059844,0411,2016-07-16,20:10:00,B,M,42,multi,N,N,N,3100 BLOCK NHutchinson St,0,,,25,0,1,0,,
,,335850,2016.0,201617032105,0411,2016-07-17,03:15:00,B,F,29,head,N,N,N,1300 BLOCK S33RD St,0,,,17,0,1,0,,
,,335851,2016.0,201617032106,0411,2016-07-17,03:15:00,B,F,26,leg,N,N,N,1300 BLOCK S33RD St,0,,,17,0,1,0,,
0101000020E6100000A64AEF7698C952C0119F854E19FF4340,0101000020110F000094F3310195E95FC15D7A40D1E58E5241,335852,2016.0,201622059597,0411,2016-07-17,03:10:00,B,F,22,multi,N,N,N,1100 BLOCK Oakdale St,0,-75.1499307,39.9929598,22,0,1,0,39.9929598,-75.1499307
0101000020E6100000B95E47DA15C552C01B8C0918FA034440,0101000020110F00009607B5C7EBE15FC1BFE2EC914E945241,335853,2016.0,201615069238,0411,2016-07-16,21:28:00,B,F,15,buttocks,N,N,N,5900 BLOCK Horrocks St,0,-75.07945878,40.03106977,15,0,1,0,40.03106976,-75.07945878
0101000020E61000003377E393C4C952C0048C919949074440,0101000020110F0000AEDE69EFDFE95FC1A55EA1CAFA975241,335854,2016.0,201614057274,0411,2016-07-15,22:32:00,B,M,17,multi,N,N,N,6700 BLOCK Limekiln Pike,0,-75.15262315,40.05693359,14,0,1,0,40.05693359,-75.15262315
,,335855,2016.0,201639058159,0411,2016-07-17,00:05:00,B,M,18,buttocks,N,N,N,3400 BLOCK N16 St,0,,,39,0,1,0,,
,,335856,2016.0,201639057799,0411,2016-07-15,18:53:00,B,M,21,multi,N,N,N,2300 BLOCK WLehigh Ave,0,,,39,0,1,0,,
,,335857,2016.0,201626035833,0411,2016-07-17,23:55:00,W,M,50,arm,N,N,N,2300 BLOCK ELehigh Ave,0,,,26,0,1,0,,
0101000020E610000014975FDD23CD52C03AE1CA7E82FB4340,0101000020110F000003B6AC509AEF5FC13D05FF75EB8A5241,335858,2016.0,201616030539,0411,2016-07-17,07:00:00,B,M,20,multi,N,N,N,4000 BLOCK Lancaster Ave,0,-75.20531401,39.96491991,16,0,1,0,39.9649199,-75.20531401
0101000020E610000036CAD9BF5BCE52C0CAB7CA5524F84340,0101000020110F00007B272815ACF15FC1E012EE4530875241,335859,2016.0,201612050949,0411,2016-07-17,23:18:00,B,M,20,multi,N,N,N,5500 BLOCK Chester Ave,0,-75.22434994,39.93860886,12,0,1,0,39.93860886,-75.22434994
