DISTRICT,INCLOCATION_X,LATITUDE_X,LONGITUDE_X,CPD_NEIGHBORHOOD,SNA_NEIGHBORHOOD,OID,RMS_NO,VICCOUNT,CITYSTATEZIP,RACE,SEX,AGE,TYPE,DATEOCCURRED,MONTHOCCURED,TIMEOCCURED,HROCCURED,DAYOCCURRED,RMSDUP,DATETIME,DSTFULL,ZIP,COMMUNITY_COUNCIL_NEIGHBORHOOD
3,36XX MCHENRY AV,39.1495979667957,-84.5621783949563,EAST WESTWOOD,EAST WESTWOOD,2100,139003093,1,"CINC, OH 45225",BLACK,MALE,33,NONFATAL,02/05/2013 12:00:00 AM,FEB,162000,16,TUE,139003093,02/05/2013 04:20:00 PM,DISTRICT 3,45225,EAST WESTWOOD
4,8XX BUENA VISTA PL,39.13403989063,-84.4884822346434,WALNUT HILLS,WALNUT HILLS,396,40809132,2,,BLACK,MALE,33,NONFATAL,12/07/2008 12:00:00 AM,DEC,,N/A,SUN,40809132,12/07/2008 12:00:00 AM,DISTRICT 4,45206,WALNUT HILLS
4,5XX CARPLIN PL,39.1392842131259,-84.4961456759893,AVONDALE,AVONDALE,4034,179033139,1,,BLACK,MALE,22,NONFATAL,08/17/2017 12:00:00 AM,AUG,175300,17,THU,179033139,08/17/2017 05:53:00 PM,DISTRICT 4,,AVONDALE
3,10XX CORONADO AV,39.1113713914496,-84.6014461826632,WEST PRICE HILL,WEST PRICE HILL,4289,189014055,1,,WHITE,FEMALE,55,FATAL,05/28/2018 12:00:00 AM,MAY,073200,7,MON,189014055,05/28/2018 07:32:00 AM,DISTRICT 3,,WEST PRICE HILL
4,23XX HIGHLAND AV,39.1239026026753,-84.5023979364702,MT AUBURN,MT. AUBURN,1897,129020608,1,"CINC, OH 45219",BLACK,MALE,21,NONFATAL,07/24/2012 12:00:00 AM,JUL,212000,21,TUE,129020608,07/24/2012 09:20:00 PM,DISTRICT 4,45219,MOUNT AUBURN
3,22XX HARRISON AV,39.1335504257409,-84.5740320974859,WESTWOOD,WESTWOOD,1917,129021718,1,"OWENTON, KY 40359",WHITE,MALE,19,NONFATAL,08/04/2012 12:00:00 AM,AUG,233800,23,SAT,129021718,08/04/2012 11:38:00 PM,DISTRICT 3,45211,SOUTH FAIRMOUNT - WESTWOOD
1,7XX W LIBERTY ST,39.1131883200444,-84.5277790691405,WEST END,WEST END,2191,139010569,1,"CINC, OH 45210",BLACK,MALE,17,NONFATAL,05/02/2013 12:00:00 AM,MAY,161500,16,THU,139010569,05/02/2013 04:15:00 PM,DISTRICT 1,45214,WEST END
3,18XX SUNSET AV,39.1246967213765,-84.5817668817323,WEST PRICE HILL,WESTWOOD,3674,169025611,1,,BLACK,MALE,30,NONFATAL,10/02/2016 12:00:00 AM,OCT,015900,1,SUN,169025611,10/02/2016 01:59:00 AM,DISTRICT 3,,WEST PRICE HILL
5,44XX CRAWFORD AV,39.1687102170751,-84.5316109257718,NORTHSIDE,NORTHSIDE,3133,159020113,1,"CINTI, OH 45226",BLACK,MALE,25,NONFATAL,07/30/2015 12:00:00 AM,JUL,153000,15,THU,159020113,07/30/2015 03:30:00 PM,DISTRICT 5,45223,SPRING GROVE VILLAGE
4,3XX ROCKDALE AV,39.1449629602536,-84.5012779017634,AVONDALE,AVONDALE,2207,139012272,1,"CINC, OH 45204",BLACK,MALE,21,NONFATAL,05/18/2013 12:00:00 AM,MAY,201200,20,SAT,139012272,05/18/2013 08:12:00 PM,DISTRICT 4,45229,AVONDALE
4,1XX MALVERN PL,39.1184065841896,-84.5122359565857,MT AUBURN,MT. AUBURN,91,40802616,2,,BLACK,MALE,21,NONFATAL,04/21/2008 12:00:00 AM,APR,,N/A,MON,40802616,04/21/2008 12:00:00 AM,DISTRICT 4,45219,MOUNT AUBURN
1,S I75 AT 2-5 MM,39.1206090060238,-84.5356630554611,WEST END,QUEENSGATE,4661,199013703,1,,BLACK,MALE,20,FATAL,06/24/2019 12:00:00 AM,JUN,215500,21,MON,199013703,06/24/2019 09:55:00 PM,DISTRICT 1,,WEST END
1,XX E FIFTEENTH ST,39.1127751383377,-84.5157342324722,OVER-THE-RHINE,OVER-THE-RHINE,794,10905651,1,,WHITE,MALE,55,NONFATAL,11/29/2009 12:00:00 AM,NOV,,N/A,SUN,10905651,11/29/2009 12:00:00 AM,DISTRICT 1,45202,OTR
2,18XX CLARION AV,39.1445881324115,-84.4682061129437,EVANSTON,EVANSTON,1697,129000205,1,"CINC, OH 45207",BLACK,MALE,55,NONFATAL,01/04/2012 12:00:00 AM,JAN,224000,22,WED,129000205,01/04/2012 10:40:00 PM,DISTRICT 2,45207,EVANSTON
1,15XX VINE ST,39.1115595747579,-84.5158670940446,OVER-THE-RHINE,OVER-THE-RHINE,1584,11103938,1,"CINC, OH 45230",BLACK,MALE,31,FATAL,09/25/2011 12:00:00 AM,SEP,193800,19,SUN,11103938,09/25/2011 07:38:00 PM,DISTRICT 1,45202,OTR
4,26XX VINE ST,39.1297381818802,-84.5092070004388,CORRYVILLE,CORRYVILLE,207,40804986,1,,BLACK,MALE,30,NONFATAL,07/14/2008 12:00:00 AM,JUL,,N/A,MON,40804986,07/14/2008 12:00:00 AM,DISTRICT 4,45219,CORRYVILLE
1,1XX E CLIFTON,39.1165625110444,-84.5149591504028,OVER-THE-RHINE,OVER-THE-RHINE,1172,11004694,1,"CINC, OH 45206",BLACK,MALE,27,NONFATAL,10/13/2010 12:00:00 AM,OCT,,N/A,WED,11004694,10/13/2010 12:00:00 AM,DISTRICT 1,45202,OTR
5,4XX KINGS RUN DR,39.1760684028088,-84.5088689684601,WINTON HILLS,SPRING GROVE VILLAGE,4176,179054176,1,,BLACK,FEMALE,31,NONFATAL,12/20/2017 12:00:00 AM,DEC,230000,23,WED,179054176,12/20/2017 11:00:00 PM,DISTRICT 5,,WINTON HILLS
5,53XX EASTKNOLL CT,39.1886645102625,-84.5718351616739,MT AIRY,MT. AIRY,3896,179013684,2,,BLACK,MALE,19,FATAL,04/18/2017 12:00:00 AM,APR,214700,21,TUE,179013684,04/18/2017 09:47:00 PM,DISTRICT 5,,MOUNT AIRY
5,1XX TOPRIDGE PL,39.181839441361,-84.5115330613782,WINTON HILLS,WINTON HILLS,2196,139011307,1,"CINC, OH 45211",BLACK,MALE,28,NONFATAL,05/10/2013 12:00:00 AM,MAY,075500,7,FRI,139011307,05/10/2013 07:55:00 AM,DISTRICT 5,45232,WINTON HILLS
,1XX W 5TH ST,39.0998937003357,-84.5144395449293,CBD/RIVERFRONT,DOWNTOWN,3818,179003961,1,,WHITE,MALE,33,NONFATAL,02/11/2017 12:00:00 AM,FEB,234000,23,SAT,179003961,02/11/2017 11:40:00 PM,CENTRAL BUSINESS SECTION,,DOWNTOWN
